category_rev,FAI,Data
0.06,FAI23,0.39
0.06,FAI23,0.1986
0.06,FAI23,0.9611
0.06,FAI23,0.4379
0.06,FAI23,0.3852
0.06,FAI23,-0.0635
0.06,FAI23,0.7244
0.06,FAI24,4.53
0.06,FAI24,0.08
0.06,FAI24,-0.08
0.06,FAI24,4.61
0.06,FAI24,4.45
0.06,FAI24,0.4389
0.06,FAI24,1.3267
0.06,FAI24,4.4991
0.06,FAI24,4.4607
0.06,FAI24,-0.0535
0.06,FAI24,0.906
0.06,FAI25,121.12
0.06,FAI25,0.08
0.06,FAI25,-0.08
0.06,FAI25,121.2
0.06,FAI25,121.04
0.06,FAI25,0.433
0.06,FAI25,0.8443
0.06,FAI25,121.1152
0.06,FAI25,121.0529
0.06,FAI25,-0.039
0.06,FAI25,0.903
0.06,FAI26,115.28
0.06,FAI26,0.08
0.06,FAI26,-0.08
0.06,FAI26,115.36
0.06,FAI26,115.2
0.06,FAI26,0.9828
0.06,FAI26,0.9906
0.06,FAI26,115.3117
0.06,FAI26,115.2642
0.06,FAI26,0.0006
0.06,FAI26,0.997
0.06,FAI27,113.52
0.06,FAI27,0.08
0.06,FAI27,-0.08
0.06,FAI27,113.6
0.06,FAI27,113.44
0.06,FAI27,2.6769
0.06,FAI27,3.3831
0.06,FAI27,113.5458
0.06,FAI27,113.532
0.06,FAI27,0.0167
0.06,FAI27,1.0
0.06,FAI28,110.92
0.06,FAI28,0.08
0.06,FAI28,-0.08
0.06,FAI28,111.0
0.06,FAI28,110.84
0.06,FAI28,1.6968
0.06,FAI28,2.6897
0.06,FAI28,110.9018
0.06,FAI28,110.8834
0.06,FAI28,-0.0295
0.06,FAI28,1.0
0.06,FAI29,109.15
0.06,FAI29,0.08
0.06,FAI29,-0.08
0.06,FAI29,109.23
0.06,FAI29,109.07
0.06,FAI29,3.7911
0.06,FAI29,14.6279
0.06,FAI29,109.0927
0.06,FAI29,109.0891
0.06,FAI29,-0.0593
0.06,FAI29,1.0
0.06,FAI30,2.73
0.06,FAI30,0.08
0.06,FAI30,-0.08
0.06,FAI30,2.81
0.06,FAI30,2.65
0.06,FAI30,1.0379
0.06,FAI30,1.2847
0.06,FAI30,2.7357
0.06,FAI30,2.6942
0.06,FAI30,-0.0154
0.06,FAI30,0.9991
0.06,FAI31,0.74
0.06,FAI31,0.08
0.06,FAI31,-0.08
0.06,FAI31,0.82
0.06,FAI31,0.66
0.06,FAI31,1.3353
0.06,FAI31,1.4442
0.06,FAI31,0.7649
0.06,FAI31,0.728
0.06,FAI31,0.006
0.06,FAI31,1.0
0.06,FAI32,85.86
0.06,FAI32,0.12
0.06,FAI32,-0.12
0.06,FAI32,85.98
0.06,FAI32,85.74
0.06,FAI32,8.2561
0.06,FAI32,19.0404
0.06,FAI32,85.7941
0.06,FAI32,85.7899
0.06,FAI32,-0.068
0.06,FAI32,1.0
0.06,FAI33,84.08
0.06,FAI33,0.12
0.06,FAI33,-0.12
0.06,FAI33,84.2
0.06,FAI33,83.96
0.06,FAI33,1.9886
0.06,FAI33,2.2806
0.06,FAI33,84.1155
0.06,FAI33,84.0834
0.06,FAI33,0.0154
0.06,FAI33,1.0
0.06,FAI34,80.42
0.06,FAI34,0.12
0.06,FAI34,-0.12
0.06,FAI34,80.54
0.06,FAI34,80.3
0.06,FAI34,6.6336
0.06,FAI34,6.7959
0.06,FAI34,80.4268
0.06,FAI34,80.4161
0.06,FAI34,0.0029
0.06,FAI34,1.0
0.06,FAI35,71.1
0.06,FAI35,0.12
0.06,FAI35,-0.12
0.06,FAI35,71.22
0.06,FAI35,70.97999999999999
0.06,FAI35,1.8514
0.06,FAI35,2.0093
0.06,FAI35,71.1322
0.06,FAI35,71.0953
0.06,FAI35,0.0094
0.06,FAI35,1.0
0.06,FAI36,62.32
0.06,FAI36,0.08
0.06,FAI36,-0.08
0.06,FAI36,62.4
0.06,FAI36,62.24
0.06,FAI36,3.1625
0.06,FAI36,5.7587
0.06,FAI36,62.3613
0.06,FAI36,62.3525
0.06,FAI36,0.0361
0.06,FAI36,1.0
0.06,FAI37,56.34
0.06,FAI37,0.08
0.06,FAI37,-0.08
0.06,FAI37,56.42
0.06,FAI37,56.26000000000001
0.06,FAI37,1.3059
0.06,FAI37,1.8106
0.06,FAI37,56.3712
0.06,FAI37,56.3453
0.06,FAI37,0.0223
0.06,FAI37,1.0
0.06,FAI38,3.87
0.06,FAI38,0.08
0.06,FAI38,-0.08
0.06,FAI38,3.95
0.06,FAI38,3.79
0.06,FAI38,0.5705
0.06,FAI38,2.8233
0.06,FAI38,3.9427
0.06,FAI38,3.9239
0.06,FAI38,0.0638
0.06,FAI38,0.9565
0.06,FAI39,1.88
0.06,FAI39,0.08
0.06,FAI39,-0.08
0.06,FAI39,1.96
0.06,FAI39,1.8
0.06,FAI39,0.445
0.06,FAI39,2.833
0.06,FAI39,1.9547
0.06,FAI39,1.9368
0.06,FAI39,0.0674
0.06,FAI39,0.9091
0.06,FAI40,42.7
0.06,FAI40,0.08
0.06,FAI40,-0.08
0.06,FAI40,42.78
0.06,FAI40,42.62
0.06,FAI40,2.3971
0.06,FAI40,2.6833
0.06,FAI40,42.7029
0.06,FAI40,42.6849
0.06,FAI40,-0.0085
0.06,FAI40,1.0
0.06,FAI41,3.91
0.06,FAI41,0.08
0.06,FAI41,-0.08
0.06,FAI41,3.99
0.06,FAI41,3.83
0.06,FAI41,0.9657
0.06,FAI41,1.5109
0.06,FAI41,3.8976
0.06,FAI41,3.8625
0.06,FAI41,-0.0289
0.06,FAI41,0.9981
0.06,FAI42,13.99
0.06,FAI42,0.08
0.06,FAI42,-0.08
0.06,FAI42,14.07
0.06,FAI42,13.91
0.06,FAI42,0.6752
0.06,FAI42,1.6552
0.06,FAI42,14.0555
0.06,FAI42,14.0247
0.06,FAI42,0.0474
0.06,FAI42,0.9786
0.06,FAI43,
0.06,FAI43,0.1
0.06,FAI43,
0.06,FAI43,0.1
0.06,FAI43,0.0
0.06,FAI43,-2.3317
0.06,FAI43,-2.3317
0.06,FAI43,0.3217
0.06,FAI43,0.2232
0.06,FAI43,0.2548
0.06,FAI43,0.0
0.06,FAI44,
0.06,FAI44,0.1
0.06,FAI44,
0.06,FAI44,0.1
0.06,FAI44,0.0
0.06,FAI44,18.2285
0.06,FAI44,18.2285
0.06,FAI44,0.0075
0.06,FAI44,0.0018
0.06,FAI44,0.0034
0.06,FAI44,1.0
0.06,FAI45,
0.06,FAI45,0.1
0.06,FAI45,
0.06,FAI45,0.1
0.06,FAI45,0.0
0.06,FAI45,8.8316
0.06,FAI45,8.8316
0.06,FAI45,0.0256
0.06,FAI45,0.0131
0.06,FAI45,0.0169
0.06,FAI45,1.0
0.06,FAI47,5.49
0.06,FAI47,0.03
0.06,FAI47,-0.03
0.06,FAI47,5.52
0.06,FAI47,5.46
0.06,FAI47,-9.5058
0.06,FAI47,1.4418
0.06,FAI47,5.7282
0.06,FAI47,5.7068
0.06,FAI47,0.2278
0.06,FAI47,0.0
0.06,FAI48,17.61
0.06,FAI48,0.08
0.06,FAI48,-0.08
0.06,FAI48,17.69
0.06,FAI48,17.53
0.06,FAI48,1.4286
0.06,FAI48,3.0371
0.06,FAI48,17.6669
0.06,FAI48,17.6372
0.06,FAI48,0.0424
0.06,FAI48,1.0
0.06,FAI49,92.53
0.06,FAI49,0.08
0.06,FAI49,-0.08
0.06,FAI49,92.61
0.06,FAI49,92.45
0.06,FAI49,1.8388
0.06,FAI49,3.086
0.06,FAI49,92.5123
0.06,FAI49,92.4843
0.06,FAI49,-0.0323
0.06,FAI49,1.0
0.06,FAI50,115.21
0.06,FAI50,0.08
0.06,FAI50,-0.08
0.06,FAI50,115.29
0.06,FAI50,115.13
0.06,FAI50,1.5764
0.06,FAI50,2.2992
0.06,FAI50,115.2016
0.06,FAI50,115.1591
0.06,FAI50,-0.0251
0.06,FAI50,1.0
0.06,FAI51,107.59
0.06,FAI51,0.08
0.06,FAI51,-0.08
0.06,FAI51,107.67
0.06,FAI51,107.51
0.06,FAI51,10.0355
0.06,FAI51,12.5236
0.06,FAI51,107.5785
0.06,FAI51,107.5694
0.06,FAI51,-0.0159
0.06,FAI51,1.0
0.06,FAI52,81.37
0.06,FAI52,0.08
0.06,FAI52,-0.08
0.06,FAI52,81.45
0.06,FAI52,81.29
0.06,FAI52,9.9419
0.06,FAI52,10.3401
0.06,FAI52,81.3775
0.06,FAI52,81.3686
0.06,FAI52,0.0031
0.06,FAI52,1.0
0.06,FAI53,76.92
0.06,FAI53,0.08
0.06,FAI53,-0.08
0.06,FAI53,77.0
0.06,FAI53,76.84
0.06,FAI53,11.7808
0.06,FAI53,12.513
0.06,FAI53,76.9193
0.06,FAI53,76.9113
0.06,FAI53,-0.0047
0.06,FAI53,1.0
0.06,FAI54,68.41
0.06,FAI54,0.08
0.06,FAI54,-0.08
0.06,FAI54,68.49
0.06,FAI54,68.33
0.06,FAI54,11.7726
0.06,FAI54,16.3526
0.06,FAI54,68.3902
0.06,FAI54,68.385
0.06,FAI54,-0.0224
0.06,FAI54,1.0
0.06,FAI55_1,15.8
0.06,FAI55_1,0.08
0.06,FAI55_1,-0.08
0.06,FAI55_1,15.88
0.06,FAI55_1,15.72
0.06,FAI55_1,1.9788
0.06,FAI55_1,8.734
0.06,FAI55_1,15.7447
0.06,FAI55_1,15.7326
0.06,FAI55_1,-0.0619
0.06,FAI55_1,1.0
0.06,FAI55_2,15.8
0.06,FAI55_2,0.08
0.06,FAI55_2,-0.08
0.06,FAI55_2,15.88
0.06,FAI55_2,15.72
0.06,FAI55_2,3.4368
0.06,FAI55_2,9.1611
0.06,FAI55_2,15.7544
0.06,FAI55_2,15.7448
0.06,FAI55_2,-0.05
0.06,FAI55_2,1.0
0.06,FAI56,122.81
0.06,FAI56,0.08
0.06,FAI56,-0.08
0.06,FAI56,122.89
0.06,FAI56,122.73
0.06,FAI56,0.7084
0.06,FAI56,14.7844
0.06,FAI56,122.7357
0.06,FAI56,122.7321
0.06,FAI56,-0.0762
0.06,FAI56,0.9832
0.06,FAI57,116.97
0.06,FAI57,0.08
0.06,FAI57,-0.08
0.06,FAI57,117.05
0.06,FAI57,116.89
0.06,FAI57,3.9141
0.06,FAI57,10.8475
0.06,FAI57,116.9217
0.06,FAI57,116.9173
0.06,FAI57,-0.0511
0.06,FAI57,1.0
0.06,FAI58,42.09
0.06,FAI58,0.08
0.06,FAI58,-0.08
0.06,FAI58,42.17
0.06,FAI58,42.01000000000001
0.06,FAI58,0.7864
0.06,FAI58,10.3695
0.06,FAI58,42.1658
0.06,FAI58,42.161
0.06,FAI58,0.0739
0.06,FAI58,0.9908
0.06,FAI59,43.29
0.06,FAI59,0.08
0.06,FAI59,-0.08
0.06,FAI59,43.37
0.06,FAI59,43.21
0.06,FAI59,0.3828
0.06,FAI59,10.4408
0.06,FAI59,43.3691
0.06,FAI59,43.3642
0.06,FAI59,0.0771
0.06,FAI59,0.8746
0.06,FAI61,115.94
0.06,FAI61,0.08
0.06,FAI61,-0.08
0.06,FAI61,116.02
0.06,FAI61,115.86
0.06,FAI61,-1.0053
0.06,FAI61,8.151
0.06,FAI61,115.8539
0.06,FAI61,115.848
0.06,FAI61,-0.0899
0.06,FAI61,0.0013
0.06,FAI62,109.15
0.06,FAI62,0.08
0.06,FAI62,-0.08
0.06,FAI62,109.23
0.06,FAI62,109.07
0.06,FAI62,4.7502
0.06,FAI62,18.3581
0.06,FAI62,109.0922
0.06,FAI62,109.0893
0.06,FAI62,-0.0593
0.06,FAI62,1.0
0.06,FAI63,28.42
0.06,FAI63,0.08
0.06,FAI63,-0.08
0.06,FAI63,28.5
0.06,FAI63,28.34
0.06,FAI63,2.0469
0.06,FAI63,3.9777
0.06,FAI63,28.463
0.06,FAI63,28.4511
0.06,FAI63,0.0388
0.06,FAI63,1.0
0.06,FAI64,45.12
0.06,FAI64,0.08
0.06,FAI64,-0.08
0.06,FAI64,45.2
0.06,FAI64,45.04
0.06,FAI64,5.8816
0.06,FAI64,9.7351
0.06,FAI64,45.1541
0.06,FAI64,45.1487
0.06,FAI64,0.0317
0.06,FAI64,1.0
0.06,FAI65,44.57
0.06,FAI65,0.08
0.06,FAI65,-0.08
0.06,FAI65,44.65
0.06,FAI65,44.49
0.06,FAI65,17.084
0.06,FAI65,18.9035
0.06,FAI65,44.5638
0.06,FAI65,44.561
0.06,FAI65,-0.0077
0.06,FAI65,1.0
0.06,FAI66,41.17
0.06,FAI66,0.08
0.06,FAI66,-0.08
0.06,FAI66,41.25
