category_fixture,FAI,Data
V1,FAI10_3,18.0617
V1,FAI10_3,18.0458
V1,FAI10_3,18.068
V1,FAI10_3,18.066
V1,FAI10_3,18.067
V1,FAI10_3,18.0575
V1,FAI10_3,18.0568
V1,FAI10_3,18.0606
V1,FAI10_3,18.0549
V1,FAI10_3,18.0622
V1,FAI10_3,18.041
V1,FAI10_3,18.0527
V1,FAI10_3,18.0485
V1,FAI10_3,18.049
V1,FAI10_3,18.0516
V1,FAI10_3,18.06
V1,FAI10_3,18.068
V1,FAI10_3,18.0534
V1,FAI10_3,18.0494
V1,FAI10_3,18.0349
V1,FAI10_3,18.0567
V1,FAI10_3,18.0538
V1,FAI10_3,18.0538
V1,FAI10_3,18.0475
V1,FAI10_3,18.062
V1,FAI10_3,18.0907
V1,FAI10_3,18.0512
V1,FAI10_3,18.075
V1,FAI10_3,18.0642
V1,FAI10_3,18.0394
V1,FAI10_3,18.0401
V1,FAI10_3,18.0843
V1,FAI10_3,18.076
V1,FAI10_3,18.0412
V1,FAI10_3,18.0831
V1,FAI10_3,18.0614
V1,FAI10_3,18.0541
V2,FAI10_3,18.0764
V2,FAI10_3,18.0829
V2,FAI10_3,18.0533
V2,FAI10_3,18.0545
V2,FAI10_3,18.0557
V2,FAI10_3,18.0527
V2,FAI10_3,18.049
V2,FAI10_3,18.0542
V2,FAI10_3,18.0492
V2,FAI10_3,18.0849
V2,FAI10_3,18.0489
V2,FAI10_3,18.0511
V2,FAI10_3,18.0489
V2,FAI10_3,18.0543
V2,FAI10_3,18.0424
V2,FAI10_3,18.0462
V2,FAI10_3,18.0696
V2,FAI10_3,18.0552
V2,FAI10_3,18.0623
V2,FAI10_3,18.0434
V2,FAI10_3,18.0691
V2,FAI10_3,18.0609
V2,FAI10_3,18.0496
V2,FAI10_3,18.0663
V2,FAI10_3,18.0649
V2,FAI10_3,18.087
V2,FAI10_3,18.0404
V2,FAI10_3,18.051
V2,FAI10_3,18.0519
V2,FAI10_3,18.0555
V2,FAI10_3,18.0519
V2,FAI10_3,18.0566
V2,FAI10_3,18.0567
V2,FAI10_3,18.05
V2,FAI10_3,18.0505
V2,FAI10_3,18.0546
V2,FAI10_3,18.0647
V2,FAI10_3,18.0545
V2,FAI10_3,18.0781
V2,FAI10_3,18.0512
V3,FAI10_3,18.0533
V3,FAI10_3,18.0696
V3,FAI10_3,18.0531
V3,FAI10_3,18.0637
V3,FAI10_3,18.0796
V3,FAI10_3,18.0771
V3,FAI10_3,18.0898
V3,FAI10_3,18.088
V3,FAI10_3,18.0454
V3,FAI10_3,18.0506
V1,FAI12,29.4769
V1,FAI12,29.4432
V1,FAI12,29.4804
V1,FAI12,29.4682
V1,FAI12,29.4663
V1,FAI12,29.3919
V1,FAI12,29.438
V1,FAI12,29.4716
V1,FAI12,29.4665
V1,FAI12,29.4555
V1,FAI12,29.5238
V1,FAI12,29.4615
V1,FAI12,29.4593
V1,FAI12,29.4129
V1,FAI12,29.4485
V1,FAI12,29.509
V1,FAI12,29.4668
V1,FAI12,29.4483
V1,FAI12,29.4631
V1,FAI12,29.4579
V1,FAI12,29.4584
V1,FAI12,29.4522
V1,FAI12,29.4617
V1,FAI12,29.3711
V1,FAI12,29.4128
V1,FAI12,29.4324
V1,FAI12,29.4391
V1,FAI12,29.43
V1,FAI12,29.4673
V1,FAI12,29.4665
V1,FAI12,29.45
V1,FAI12,29.3534
V1,FAI12,29.3744
V1,FAI12,29.452
V1,FAI12,29.4689
V1,FAI12,29.4567
V1,FAI12,29.4166
V1,FAI12,29.4962
V1,FAI12,29.4542
V1,FAI12,29.4481
V1,FAI12,29.4437
V1,FAI12,29.4665
V1,FAI12,29.3963
V1,FAI12,29.3876
V1,FAI12,29.4366
V1,FAI12,29.4519
V1,FAI12,29.4148
V1,FAI12,29.4565
V1,FAI12,29.4768
V1,FAI12,29.4534
V2,FAI12,29.4584
V2,FAI12,29.454
V2,FAI12,29.4576
V2,FAI12,29.4565
V2,FAI12,29.4552
V2,FAI12,29.4537
V2,FAI12,29.4355
V2,FAI12,29.4561
V2,FAI12,29.4533
V2,FAI12,29.4458
V2,FAI12,29.4315
V2,FAI12,29.4457
V2,FAI12,29.4657
V2,FAI12,29.4533
V2,FAI12,29.4436
V2,FAI12,29.4444
V2,FAI12,29.467
V2,FAI12,29.4509
V2,FAI12,29.457
V2,FAI12,29.4444
V2,FAI12,29.4673
V2,FAI12,29.459
V2,FAI12,29.4504
V2,FAI12,29.4537
V2,FAI12,29.4632
V2,FAI12,29.4578
V2,FAI12,29.5104
V2,FAI12,29.4516
V2,FAI12,29.4534
V2,FAI12,29.4527
V2,FAI12,29.4635
V2,FAI12,29.4555
V2,FAI12,29.466
V2,FAI12,29.4528
V2,FAI12,29.449
V2,FAI12,29.4538
V2,FAI12,29.4634
V2,FAI12,29.4498
V2,FAI12,29.4606
V2,FAI12,29.4532
V3,FAI12,29.4577
V3,FAI12,29.471
V3,FAI12,29.4573
V3,FAI12,29.4558
V3,FAI12,29.4619
V3,FAI12,29.4584
V3,FAI12,29.4471
V3,FAI12,29.4551
V3,FAI12,29.4506
V3,FAI12,29.4579
V1,FAI13,15.0665
V1,FAI13,15.0613
V1,FAI13,15.0412
V1,FAI13,15.0251
V1,FAI13,15.0371
V1,FAI13,14.9994
V1,FAI13,15.0127
V1,FAI13,15.0391
V1,FAI13,15.0435
V1,FAI13,15.0583
V1,FAI13,15.0681
V1,FAI13,15.0318
V1,FAI13,15.0342
V1,FAI13,15.0075
V1,FAI13,15.0179
V1,FAI13,15.0568
V1,FAI13,15.0421
V1,FAI13,15.0476
